created_at,ticker,station,probability,fair_yes_cents,best_yes_bid_cents,best_yes_ask_cents,spread_cents,limit_price_cents,requested_quantity,filled_quantity,average_price_cents,risk_allowed,risk_reasons,outcome,brier_score,resolved_at,forecast_max_f,adjusted_mean_f,sigma_f,forecast_age_minutes,metar_age_minutes,threshold_f,comparison,upper_f
2026-05-25T17:30:47.545178+00:00,KXHIGHDEN-26MAY26-T77,KDEN,0.01,1,25,26,1,26,0,0,,0,"[""edge_below_threshold"", ""daily_loss_limit"", ""unresolved_exposure_limit""]",,,,85.5,85.5,3.5,53.708870733333335,0.005501133333333333,,,
2026-05-25T17:30:47.608057+00:00,KXHIGHDEN-26MAY25-T87,KDEN,0.26860669589606134,27,1,2,1,2,0,0,,0,"[""existing_paper_position""]",,,,85.5,85.5,2.0,53.70998933333333,0.00661975,,,
2026-05-25T17:30:47.672534+00:00,KXHIGHDEN-26MAY25-T80,KDEN,0.07930274791411053,8,,1,,1,0,0,,0,"[""edge_below_threshold"", ""spread_too_wide""]",,,,85.5,85.5,2.0,53.710992866666665,0.007623283333333333,,,
2026-05-25T17:30:47.997586+00:00,KXHIGHLAX-26MAY26-T69,KLAX,0.3135848767697006,31,11,12,1,12,0,0,,0,"[""daily_loss_limit"", ""unresolved_exposure_limit""]",,,,67.3,67.30000000000001,3.5,42.34974651666666,0.0038185000000000003,,,
2026-05-25T17:30:48.064704+00:00,KXHIGHLAX-26MAY26-T62,KLAX,0.06497669510746518,6,,1,,1,0,0,,0,"[""edge_below_threshold"", ""spread_too_wide""]",,,,67.3,67.30000000000001,3.5,42.35086651666666,0.004938483333333333,,,
2026-05-25T17:30:48.131087+00:00,KXHIGHLAX-26MAY25-T70,KLAX,0.14569700544788372,15,5,6,1,6,0,0,,0,"[""edge_below_threshold"", ""unresolved_exposure_limit""]",,,,67.3,67.30000000000001,2.0,42.35197553333333,0.0060475166666666665,,,
2026-05-25T17:30:48.198221+00:00,KXHIGHLAX-26MAY25-T63,KLAX,0.08307479443263294,8,,1,,1,0,0,,0,"[""edge_below_threshold"", ""spread_too_wide""]",,,,67.3,67.30000000000001,2.0,42.353079650000005,0.007151633333333333,,,
2026-05-25T17:30:48.501890+00:00,KXHIGHTATL-26MAY26-T84,KATL,0.04947146803364788,5,2,3,1,3,0,0,,0,"[""edge_below_threshold"", ""unresolved_exposure_limit""]",,,,78.225,78.225,3.5,12.108153916666668,0.00345575,,,
2026-05-25T17:30:48.571024+00:00,KXHIGHTATL-26MAY26-T77,KATL,0.36316934882438157,36,7,8,1,8,0,0,,0,"[""daily_loss_limit"", ""unresolved_exposure_limit""]",,,,78.225,78.225,3.5,12.109303716666666,0.004605566666666667,,,
2026-05-25T17:30:48.638000+00:00,KXHIGHTATL-26MAY25-T85,KATL,0.09153262826834084,9,2,3,1,3,0,0,,0,"[""edge_below_threshold"", ""unresolved_exposure_limit""]",,,,78.225,78.225,2.0,12.11041935,0.0057211833333333335,,,
2026-05-25T17:30:48.703495+00:00,KXHIGHTATL-26MAY25-T78,KATL,0.4633865271013739,46,,1,,1,0,0,,0,"[""spread_too_wide""]",,,,78.225,78.225,2.0,12.111506466666667,0.006808300000000001,,,
